#fields:Hanzi	Pinyin	English	Notes	Tags
笨蛋	bèndàn	idiot, fool	笨 (bèn, stupid, clumsy) + 蛋: a fool or dimwit. Among close friends it softens into teasing, even affection, but aimed at a stranger it lands as a real insult.	food nature daily-life characters
鼻	bí	nose		body perception radical
鼻子	bízi	nose		identity freedom meaning characters
比如	bǐrú	for instance		comparison conditional cohesion characters
比如说	bǐrú shuō	"For example" or "like, for instance	"For example" or "like, for instance." Introduces a concrete illustration of an abstract point. Among the most useful phrases for explaining anything. The shorter 比如 works identically; 比如说 just adds a beat of preparation.	daily spoken language etiquette
笔法	bǐfǎ	brush method; stroke technique		calligraphy arts writing classical history aesthetics culture
笔画	bǐhuà	stroke; brushstroke	笔 bǐ (brush; pen) + 画 huà (to draw; stroke). The individual strokes that make up a character. Chinese characters are analyzed by stroke count (几画 jǐ huà "how many strokes?") and stroke order (笔顺 bǐshùn).	calligraphy art brush writing arts culture characters language meta history education literature philosophy
笔记本	bǐjìběn	notebook; laptop computer	笔记 bǐjì + 本 běn (a bound volume; classifier for books). Originally: a bound notebook for handwritten jottings. Now also: laptop computer (笔记本电脑 bǐjìběn diànnǎo), the device that replaced the paper notebook for many people, while keeping the name.	literacy literature calligraphy
笔名	bǐmíng	Pen name	Pen name: a literary pseudonym. Many Chinese writers and poets are better known by their pen names than their given names. Lu Xun (鲁迅) was born Zhou Shuren (周树人); his pen name is how he is universally known.	names social language
笔墨	bǐmò	brush and ink; brushwork as a concept		arts nature taoism aesthetics classical calligraphy writing history culture literacy
笔顺	bǐshùn	stroke order		calligraphy writing brush arts culture history education literature
笔者	bǐzhě	the present writer; this author (formal self-reference)	笔 (brush; pen; writing) + 者. Used in formal written Chinese as a modest self-reference: "the one holding the brush," meaning the author of the text you are reading.	grammar classical syntax literary compounds
必定	bìdìng	certainly; definitely; without a doubt	必 bì (certainly) + 定 dìng (settled; fixed; determined). A speaker's confident prediction about the future or about something not yet observed. The certainty is in the speaker's judgment, not a rule or law. Closer to "I am certain that" than to "you are required to."	grammar modal logic classical ethics philosophy
必然	bìrán	inevitable; necessarily; of necessity	必 bì (certainly; without exception) + 然 rán (so; thus; naturally so , the word for "naturally" or "as it must be"). Together: that which is naturally and necessarily the case, which could not have been otherwise. The register is philosophical, historical, or scientific.	grammar modal logic classical ethics philosophy register syntax
必胜	bìshèng	certain to win; victory is assured	必 bì (certainly; without exception) + 胜 shèng (to win; to overcome). A morale-building formula rather than a measured prediction. Used in sports, military contexts, and competitive settings where the declaration of certainty is itself motivational. The certainty is willed, not merely predicted.	grammar modal logic classical ethics philosophy
必须承认	bìxū chéngrèn	one must admit; it must be acknowledged that	A common rhetorical move in essays and serious conversation, conceding ground before pivoting. The 必须 here is not commanding the listener; it is the speaker acknowledging an inescapable point. English equivalent: "it has to be said that," "one must concede that."	modal grammar register syntax
必须遵守	bìxū zūnshǒu	must comply with; must abide by (rules, laws)	The standard pairing in legal, regulatory, and policy language. 必须遵守法律 (must comply with the law). The phrase carries the formal-rules register that 必须 lives in: every Chinese workplace handbook, public notice, and company memo will use this collocation rather than its softer alternatives.	modal grammar register syntax
必需	bìxū	essential (thing); necessity		modal grammar register syntax
必要	bìyào	necessary; required; essential (for a given purpose)	必 bì (certainly; without exception) + 要 yào (to want; to need; required). Necessity defined by a purpose or goal: if you want the outcome, this is what the outcome requires. The conditionality is built in.	grammar modal logic classical ethics philosophy register syntax
毕业	bìyè	to graduate; graduation	毕 bì (to finish; to complete) + 业 yè (studies). To complete one's course of study: 大学毕业 "to graduate from university," 毕业典礼 "graduation ceremony." A separable verb, so the object slots in the middle: 毕了业 "have graduated."	society commerce industry education
闭	bì	to close, to shut (formal)		change connections social body perception measure-words
庇佑	bìyòu	divine protection and blessing		mazu goddess coast
避雷针	bìléizhēn	lightning rod — lit. "thunder-avoiding needle"	避 bì (to avoid; to deflect) + 雷 léi (thunder/lightning) + 针 zhēn (needle; pin). Lightning rod. Literally: the needle that deflects the thunder. Metaphorically, a 避雷针 is a person or thing that absorbs blame or controversy on behalf of someone else , a lightning rod in the political sense.	nature cosmology religion gods wuxing
璧	bì	jade disc		nature culture virtue confucianism aesthetics royalty classical
边关	biānguān	border pass; frontier checkpoint	边 (biān, border; edge) + 关 (guān, pass; strategic gate). The fortified checkpoints through the wall where military control, taxation, and passage were managed.	history fortification border great-wall qin han ming architecture geography dynasty
边角料	biānjiǎoliào	offcuts; scraps; odds and ends		space geometry music
边境	biānjìng	border; frontier		politics society culture
边远	biānyuǎn	remote and peripheral (border regions)		direction geography nature classical analects confucianism
鞭炮	biānpào	firecrackers		culture history family
变成	biànchéng	to turn into; to become	变 biàn (to change) + 成 chéng (to become; to complete; to succeed), the directional complement. The standard compound for completed transformation: X has fully become Y. 成 is the result complement, indicating the transformation has landed somewhere definite.	philosophy change meaning evaluation characters
变法	biànfǎ	to change the laws; political-legal reform (historical term)	变 biàn (to change) + 法 fǎ (law; method; the Dharma, depending on context). The classical Chinese term for fundamental legal and institutional reform: changing the very rules by which a state operates.	philosophy change
变革	biàngé	transformation; systemic reform; institutional change	变 biàn (to change) + 革 gé (to reform; leather, the image of tanning a hide and stripping away the old surface). 变革 carries more structural weight than 变化: it implies change to systems, institutions, or fundamental arrangements, not merely surface conditions.	philosophy change
变卦	biànguà	changing hexagram; colloquial: to change one's mind, go back on one's word	In the 易经, 变卦 biànguà is the technical term for the resultant hexagram, the second hexagram produced when changing lines (爻 yáo that have reached their extreme) transform. The 变卦 reveals where the present situation is moving.	philosophy divination cosmology classics
变化	biànhuà	change; transformation; variation	变 biàn (to change) + 化 huà (to transform; to dissolve into something new). The most general and most frequent word for change in modern Mandarin. Where 变 alone is the verb of transformation, 变化 is the noun: change as a thing that happens, can be observed, measured, discussed.	philosophy change culture science characters history classical daily-life cosmology yin-yang binary taoism literature
